agent-type,agent-id,TriadStackID,received-IP-list,sent-IP-list,country,county,Municipality,Coordinates,Gender,Age,Language,Nationality,PoliticalSpectrum,SocioeconomicStatus,EU,NATORussia,InformationDisseminationAgents,key_issue,tick no,timestamp
basic-agents,B-ID-11,TS-B-ID-11,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiRussia,['Lietus Radio (lietus.fm)'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-12,TS-B-ID-12,[],[],Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,Both,Lithuanian,Right,UpperClass,Undecided,Undecided,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-13,TS-B-ID-13,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLanguage,Polish,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,['Delfi (delfi.lt)'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-14,TS-B-ID-14,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLanguage,Polish,Undecided,MiddleClass,ProEU,Neutral,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-15,TS-B-ID-15,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLanguage,Polish,Center,LowerClass,AntiEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-16,TS-B-ID-16,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Young,Both,Polish,Undecided,UpperClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-17,TS-B-ID-17,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,Both,Polish,Right,UpperClass,ProEU,Undecided,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-18,TS-B-ID-18,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,Both,Polish,Undecided,LowerClass,AntiEU,Undecided,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-19,TS-B-ID-19,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Old,NationalLanguage,Lithuanian,Center,UpperClass,ProEU,Undecided,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-20,TS-B-ID-20,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLanguage,Polish,Right,UpperClass,AntiEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-21,TS-B-ID-21,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLanguage,Polish,Center,LowerClass,ProEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-22,TS-B-ID-22,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLanguage,Polish,Center,LowerClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-23,TS-B-ID-23,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLanguage,Polish,Right,LowerClass,ProEU,Neutral,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-24,TS-B-ID-24,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,Other,Polish,Center,UpperClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-25,TS-B-ID-25,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,Both,Polish,Undecided,UpperClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-26,TS-B-ID-26,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLanguage,Polish,Left,UpperClass,ProEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-27,TS-B-ID-27,[],[],Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLanguage,Polish,Undecided,UpperClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-28,TS-B-ID-28,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Middle,NationalLanguage,Lithuanian,Left,MiddleClass,Undecided,Undecided,"['Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-29,TS-B-ID-29,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Middle,Both,Lithuanian,Center,LowerClass,Undecided,Neutral,['Odnoklassniki'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-30,TS-B-ID-30,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Middle,Both,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-31,TS-B-ID-31,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,NotApplicable,Other,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-32,TS-B-ID-32,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Young,NationalLanguage,Lithuanian,Undecided,LowerClass,AntiEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-33,TS-B-ID-33,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Middle,Other,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-34,TS-B-ID-34,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Male,Old,Both,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-35,TS-B-ID-35,[],[],Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Male,Old,NationalLanguage,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-36,TS-B-ID-36,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLanguage,Lithuanian,Undecided,LowerClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Facebook', 'Twitter']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-37,TS-B-ID-37,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,NotApplicable,NationalLanguage,Polish,Left,LowerClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-38,TS-B-ID-38,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,NotApplicable,Both,Lithuanian,Right,MiddleClass,AntiEU,AntiNATOProRussia,"['PBK', 'RUSRADIO (rusradio.lt)', 'Respublika (respublika.lt)', 'Lenta (lenta.ru)', 'Sputnik News (sputniknews.ru)', 'Odnoklassniki']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-39,TS-B-ID-39,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLanguage,Lithuanian,Center,LowerClass,ProEU,Neutral,"['LRT (lrt.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-40,TS-B-ID-40,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLanguage,Polish,Left,UpperClass,Undecided,Neutral,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-41,TS-B-ID-41,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Old,NationalLanguage,Russian,Left,LowerClass,ProEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-42,TS-B-ID-42,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,Both,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-43,TS-B-ID-43,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Female,NotApplicable,NationalLanguage,Other,Undecided,UpperClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-44,TS-B-ID-44,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,Both,Lithuanian,Left,LowerClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-45,TS-B-ID-45,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Old,NationalLanguage,Lithuanian,Undecided,LowerClass,Undecided,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-46,TS-B-ID-46,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLanguage,Polish,Left,MiddleClass,AntiEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-47,TS-B-ID-47,[],[],Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLanguage,Lithuanian,Undecided,LowerClass,Undecided,ProNATOAntiRussia,"['LRT (lrt.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-48,TS-B-ID-48,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,NotApplicable,NationalLanguage,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-49,TS-B-ID-49,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,Russian,Polish,Undecided,LowerClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-50,TS-B-ID-50,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Old,Both,Russian,Right,UpperClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-51,TS-B-ID-51,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,NationalLanguage,Lithuanian,Center,MiddleClass,ProEU,Undecided,"['Lietuvos Rytas (lrytas.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-52,TS-B-ID-52,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,NotApplicable,NationalLanguage,Lithuanian,Undecided,MiddleClass,Undecided,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)', 'Alfa (alfa.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-53,TS-B-ID-53,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,Both,Polish,Left,UpperClass,ProEU,ProNATOAntiRussia,['Delfi (delfi.lt)'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-54,TS-B-ID-54,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,Both,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-55,TS-B-ID-55,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,NotApplicable,Both,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-56,TS-B-ID-56,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,NationalLanguage,Lithuanian,Right,UpperClass,AntiEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-57,TS-B-ID-57,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,NotApplicable,Both,Polish,Right,LowerClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-58,TS-B-ID-58,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,NationalLanguage,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Lietus Radio (lietus.fm)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-59,TS-B-ID-59,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,Both,Russian,Left,MiddleClass,ProEU,Neutral,['Delfi (delfi.lt)'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-60,TS-B-ID-60,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,Both,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,"['Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-61,TS-B-ID-61,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Old,NationalLanguage,Lithuanian,Center,MiddleClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-62,TS-B-ID-62,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,Both,Polish,Undecided,UpperClass,ProEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-63,TS-B-ID-63,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Male,Middle,NationalLanguage,Lithuanian,Left,MiddleClass,AntiEU,Neutral,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-64,TS-B-ID-64,[],[],Lithuania,Vilnius,Trakai,54.637724 24.936139,Female,Middle,NationalLanguage,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiRussia,"['Lietus Radio (lietus.fm)', 'Kauno Diena (kauno.diena.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-65,TS-B-ID-65,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,Both,Lithuanian,Undecided,UpperClass,AntiEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-66,TS-B-ID-66,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,Both,Lithuanian,Center,LowerClass,ProEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-67,TS-B-ID-67,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,NationalLanguage,Lithuanian,Right,LowerClass,Undecided,Undecided,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-68,TS-B-ID-68,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,NationalLanguage,Lithuanian,Right,LowerClass,Undecided,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-69,TS-B-ID-69,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Young,NationalLanguage,Lithuanian,Right,UpperClass,ProEU,AntiNATOProRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-70,TS-B-ID-70,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,Both,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiRussia,"['Lietus Radio (lietus.fm)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-71,TS-B-ID-71,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,NationalLanguage,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-72,TS-B-ID-72,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Young,Both,Russian,Right,UpperClass,ProEU,Undecided,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-73,TS-B-ID-73,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Old,Both,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Lietus Radio (lietus.fm)', 'Delfi (delfi.lt)']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-74,TS-B-ID-74,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,Both,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,"['Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-75,TS-B-ID-75,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,Both,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-76,TS-B-ID-76,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,NationalLanguage,Lithuanian,Center,UpperClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-77,TS-B-ID-77,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Middle,NationalLanguage,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-78,TS-B-ID-78,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,NotApplicable,Both,Lithuanian,Left,UpperClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-79,TS-B-ID-79,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Middle,Both,Lithuanian,Undecided,MiddleClass,AntiEU,ProNATOAntiRussia,[],0,0,12:42:03.140 PM 27-Jan-2023
basic-agents,B-ID-80,TS-B-ID-80,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,Old,Both,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiRussia,['Lietus Radio (lietus.fm)'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-81,TS-B-ID-81,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Female,Old,NationalLanguage,Lithuanian,Right,LowerClass,AntiEU,Undecided,[],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-82,TS-B-ID-82,[],[],Lithuania,Vilnius,Ukmerge,55.244341 24.773614,Male,NotApplicable,NationalLanguage,Lithuanian,Right,UpperClass,Undecided,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-83,TS-B-ID-83,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLanguage,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-84,TS-B-ID-84,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLanguage,Polish,Center,LowerClass,ProEU,AntiNATOProRussia,[],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-85,TS-B-ID-85,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLanguage,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-86,TS-B-ID-86,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,NotApplicable,NationalLanguage,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Kauno Diena (kauno.diena.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-87,TS-B-ID-87,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLanguage,Lithuanian,Right,LowerClass,AntiEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-88,TS-B-ID-88,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,NotApplicable,Russian,Lithuanian,Center,LowerClass,Undecided,ProNATOAntiRussia,"['LRT (lrt.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-89,TS-B-ID-89,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Young,NationalLanguage,Lithuanian,Center,LowerClass,AntiEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-90,TS-B-ID-90,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLanguage,Lithuanian,Left,LowerClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-91,TS-B-ID-91,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,NotApplicable,Both,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Delfi (delfi.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-92,TS-B-ID-92,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLanguage,Polish,Undecided,MiddleClass,ProEU,Neutral,['Delfi (delfi.lt)'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-93,TS-B-ID-93,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,Both,Polish,Center,UpperClass,Undecided,Neutral,[],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-94,TS-B-ID-94,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,NotApplicable,Both,Other,Center,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-95,TS-B-ID-95,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Male,Middle,NationalLanguage,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiRussia,['Facebook'],0,0,12:42:03.141 PM 27-Jan-2023
basic-agents,B-ID-96,TS-B-ID-96,[],[],Lithuania,Vilnius,Vilnius City,54.687888 25.28229,Female,Middle,NationalLanguage,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'Facebook']",0,0,12:42:03.141 PM 27-Jan-2023
